Oscilloscope Data File
Experiment Time :   13-12-2016 08:53:42
Number of frames: 46666

Module: E-14-140M (1D905555)

Number Of Channels : 8
Input Rate In kHz: 22.222221
Input Time In Sec: 2.099970
Decimation: 100
Number of frames after Decimation: 466
Data Format: Calibr
Time markers scale: ñåêóíäû
GPS time=00:00:00 00-00-0000
GPS latitude=, latitude h=0
GPS longitude=, longitude h=0
Segments: 1
Data as Time Sequence:
                    Ch  1      Ch  5      Ch  6      Ch  7      Ch  8  
                 ÑÂÄ,       ÐÊ 1,      ÐÊ 2,      ÐÊ 3,      ÐÊ 4,     
        1.539 ,       280,       113,       110,       100,        82
        1.544 ,       280,       113,       110,       100,        83
        1.548 ,       279,       113,       110,       100,        83
        1.553 ,       279,       113,       110,        99,        82
        1.557 ,       279,       113,       110,        99,        82
        1.562 ,       281,       113,       110,        99,        83
        1.566 ,       281,       113,       110,       100,        82
        1.571 ,       281,       113,       110,        99,        82
        1.575 ,       281,       113,       110,       100,        82
        1.580 ,       280,       113,       110,        99,        82
        1.584 ,       280,       113,       110,       100,        83
        1.589 ,       280,       113,       110,        99,        82
        1.593 ,       281,       113,       110,       100,        82
        1.598 ,       281,       113,       110,        99,        82
        1.602 ,       282,       112,       110,       100,        83
        1.607 ,       281,       113,       110,        99,        83
        1.611 ,       280,       113,       110,       100,        82
        1.616 ,       280,       113,       110,        99,        82
        1.620 ,       280,       113,       110,        99,        82
        1.625 ,       280,       113,       110,        99,        82
        1.629 ,       281,       113,       110,       100,        83
        1.634 ,       281,       113,       110,        99,        82
        1.638 ,       280,       113,       110,        99,        82
        1.643 ,       280,       113,       110,       100,        82
        1.647 ,       280,       113,       110,       100,        82
        1.652 ,       280,       113,       110,        99,        82
        1.656 ,       280,       113,       110,       100,        82
        1.661 ,       282,       112,       110,        99,        83
        1.665 ,       282,       113,       110,       100,        82
        1.670 ,       281,       113,       110,        99,        83
        1.674 ,       281,       113,       110,        99,        82
        1.679 ,       280,       113,       110,        99,        82
